Hours Viewed,release_year,Cluster
812100000,2023.0,2
665100000,2023.0,2
622800000,2022.0,2
507700000,2022.0,2
503000000,2023.0,2
440600000,2023.0,2
429600000,2022.0,2
402500000,2023.0,2
302100000,2021.0,2
266200000,2023.0,2
262600000,2022.0,2
252500000,2023.0,2
251500000,2022.0,2
249900000,2023.0,2
235000000,2023.0,2
234800000,2023.0,2
229700000,2023.0,2
221100000,2023.0,2
214100000,2023.0,2
209700000,2023.0,2
206500000,2023.0,2
205500000,2023.0,2
201800000,2023.0,2
200700000,2023.0,2
194700000,2023.0,2
192900000,2023.0,2
184000000,2020.0,2
182300000,2023.0,2
181800000,2023.0,2
176800000,2023.0,2
175500000,2023.0,2
174300000,2023.0,2
173600000,2023.0,2
172400000,2023.0,2
168300000,2023.0,2
163000000,2023.0,2
161100000,2022.0,2
157600000,2022.0,2
155300000,2022.0,2
153900000,2021.0,2
152100000,2022.0,2
151400000,2021.0,2
150200000,2022.0,2
148600000,2023.0,2
146900000,2022.0,2
146700000,2023.0,2
142900000,2022.0,2
140100000,2023.0,2
139900000,2023.0,2
139300000,2023.0,2
136600000,2020.0,2
136200000,2020.0,2
135900000,2022.0,2
134800000,2023.0,2
133600000,2022.0,2
133500000,2022.0,2
133400000,2022.0,2
126400000,2021.0,2
124400000,2023.0,2
123500000,2018.0,2
120700000,2022.0,2
120500000,2023.0,2
120300000,2019.0,2
120000000,2023.0,2
118900000,2023.0,2
118600000,2023.0,2
116500000,2022.0,2
115800000,2023.0,2
113600000,2023.0,2
107200000,2021.0,0
104600000,2023.0,0
104500000,2023.0,0
102800000,2017.0,1
102300000,2020.0,0
101700000,2021.0,0
99900000,2023.0,0
99500000,2021.0,0
99000000,2022.0,0
98500000,2016.0,1
97800000,2022.0,0
97600000,2022.0,0
95100000,2023.0,0
95000000,2019.0,1
94700000,2011.0,1
94600000,2022.0,0
94300000,2023.0,0
94200000,2023.0,0
92900000,2023.0,0
92500000,2019.0,1
92300000,2023.0,0
92200000,2020.0,0
91400000,2021.0,0
91200000,2021.0,0
90800000,2022.0,0
90200000,2023.0,0
89000000,2021.0,0
87900000,2019.0,1
87200000,2021.0,0
86200000,2021.0,0
86100000,2020.0,0
86100000,2017.0,1
86000000,2022.0,0
85400000,2022.0,0
85000000,2023.0,0
84600000,2023.0,0
84400000,2017.0,1
83600000,2023.0,0
83200000,2023.0,0
82800000,2023.0,0
82500000,2021.0,0
82100000,2022.0,0
81700000,2021.0,0
81000000,2022.0,0
80800000,2022.0,0
80000000,2022.0,0
79700000,2023.0,0
78200000,2022.0,0
78200000,2023.0,0
77800000,2023.0,0
77800000,2016.0,1
76300000,2022.0,0
75700000,2023.0,0
